央视频道,#genre#

CCTV1,http://192.168.123.1:8888/udp/239.253.240.77:8000
CCTV1,http://192.168.123.1:8888/udp/239.253.240.1:8000

CCTV2,http://192.168.123.1:8888/udp/239.253.240.232:8000
CCTV2,http://192.168.123.1:8888/udp/239.253.240.3:8000

CCTV3,http://192.168.123.1:8888/udp/239.253.240.191:8000
CCTV3,http://192.168.123.1:8888/udp/239.253.240.4:8000

CCTV4,http://192.168.123.1:8888/udp/239.253.240.111:8000
CCTV4,http://192.168.123.1:8888/udp/239.253.240.5:8000

CCTV4欧洲,http://192.168.123.1:8888/udp/239.253.240.186:8000
CCTV4美洲,http://192.168.123.1:8888/udp/239.253.240.187:8000

CCTV5,http://192.168.123.1:8888/udp/239.253.240.192:8000
CCTV5,http://192.168.123.1:8888/udp/239.253.240.109:8000
CCTV5,http://192.168.123.1:8888/udp/239.253.240.6:8000
CCTV5,http://192.168.123.1:8888/udp/239.253.240.131:8000

CCTV5+,http://192.168.123.1:8888/udp/239.253.240.80:8000

CCTV6,http://192.168.123.1:8888/udp/239.253.240.193:8000
CCTV6,http://192.168.123.1:8888/udp/239.253.240.7:8000

CCTV7,http://192.168.123.1:8888/udp/239.253.240.233:8000
CCTV7,http://192.168.123.1:8888/udp/239.253.240.8:8000

CCTV8,http://192.168.123.1:8888/udp/239.253.240.194:8000
CCTV8,http://192.168.123.1:8888/udp/239.253.240.9:8000

CCTV9,http://192.168.123.1:8888/udp/239.253.240.79:8000
CCTV9,http://192.168.123.1:8888/udp/239.253.240.10:8000

CCTV10,http://192.168.123.1:8888/udp/239.253.240.234:8000
CCTV10,http://192.168.123.1:8888/udp/239.253.240.11:8000

CCTV11,http://192.168.123.1:8888/udp/239.253.240.169:8000
CCTV11,http://192.168.123.1:8888/udp/239.253.240.12:8000

CCTV12,http://192.168.123.1:8888/udp/239.253.240.235:8000
CCTV12,http://192.168.123.1:8888/udp/239.253.240.13:8000

CCTV13,http://192.168.123.1:8888/udp/239.253.240.175:8000
CCTV13,http://192.168.123.1:8888/udp/239.253.240.14:8000

CCTV14,http://192.168.123.1:8888/udp/239.253.240.236:8000
CCTV14,http://192.168.123.1:8888/udp/239.253.240.15:8000

CCTV15,http://192.168.123.1:8888/udp/239.253.240.170:8000
CCTV15,http://192.168.123.1:8888/udp/239.253.240.16:8000

CCTV17,http://192.168.123.1:8888/udp/239.253.240.168:8000

CCTV超高清,http://192.168.123.1:8888/udp/239.253.240.122:8000

CETV1,http://192.168.123.1:8888/udp/239.253.240.110:8000
CETV1,http://192.168.123.1:8888/udp/239.253.240.55:8000

CETV2,http://192.168.123.1:8888/udp/239.253.240.107:8000

CETV4,http://192.168.123.1:8888/udp/239.253.240.116:8000
CETV4,http://192.168.123.1:8888/udp/239.253.240.108:8000

CGTN,http://192.168.123.1:8888/udp/239.253.240.189:8000

CGTN纪录,http://192.168.123.1:8888/udp/239.253.240.188:8000

CGTN西语,http://192.168.123.1:8888/udp/239.253.240.182:8000

CGTN法语,http://192.168.123.1:8888/udp/239.253.240.183:8000

CGTN俄语,http://192.168.123.1:8888/udp/239.253.240.185:8000

CGTN阿语,http://192.168.123.1:8888/udp/239.253.240.184:8000
        
CHC动作电影,http://192.168.123.1:8888/udp/239.253.240.153:8000

CHC高清电影,http://192.168.123.1:8888/udp/239.253.240.154:8000

CHC家庭影院,http://192.168.123.1:8888/udp/239.253.240.152:8000





卫视频道,#genre#

甘肃卫视,http://192.168.123.1:8888/udp/239.253.240.74:8000
甘肃卫视,http://192.168.123.1:8888/udp/239.253.240.52:8000

山东卫视,http://192.168.123.1:8888/udp/239.253.240.78:8000
山东卫视,http://192.168.123.1:8888/udp/239.253.240.2:8000

湖南卫视,http://192.168.123.1:8888/udp/239.253.240.82:8000
湖南卫视,http://192.168.123.1:8888/udp/239.253.240.27:8000

江苏卫视,http://192.168.123.1:8888/udp/239.253.240.83:8000
江苏卫视,http://192.168.123.1:8888/udp/239.253.240.28:8000

浙江卫视,http://192.168.123.1:8888/udp/239.253.240.84:8000
浙江卫视,http://192.168.123.1:8888/udp/239.253.240.29:8000

北京卫视,http://192.168.123.1:8888/udp/239.253.240.85:8000
北京卫视,http://192.168.123.1:8888/udp/239.253.240.31:8000

东方卫视,http://192.168.123.1:8888/udp/239.253.240.86:8000
东方卫视,http://192.168.123.1:8888/udp/239.253.240.32:8000

安徽卫视,http://192.168.123.1:8888/udp/239.253.240.87:8000
安徽卫视,http://192.168.123.1:8888/udp/239.253.240.30:8000

湖北卫视,http://192.168.123.1:8888/udp/239.253.240.88:8000
湖北卫视,http://192.168.123.1:8888/udp/239.253.240.45:8000

天津卫视,http://192.168.123.1:8888/udp/239.253.240.89:8000
天津卫视,http://192.168.123.1:8888/udp/239.253.240.34:8000

广东卫视,http://192.168.123.1:8888/udp/239.253.240.90:8000
广东卫视,http://192.168.123.1:8888/udp/239.253.240.39:8000

深圳卫视,http://192.168.123.1:8888/udp/239.253.240.91:8000
深圳卫视,http://192.168.123.1:8888/udp/239.253.240.33:8000

辽宁卫视,http://192.168.123.1:8888/udp/239.253.240.92:8000
辽宁卫视,http://192.168.123.1:8888/udp/239.253.240.36:8000

黑龙江卫视,http://192.168.123.1:8888/udp/239.253.240.93:8000
黑龙江卫视,http://192.168.123.1:8888/udp/239.253.240.37:8000

东南卫视,http://192.168.123.1:8888/udp/239.253.240.105:8000
东南卫视,http://192.168.123.1:8888/udp/239.253.240.41:8000

河北卫视,http://192.168.123.1:8888/udp/239.253.240.112:8000
河北卫视,http://192.168.123.1:8888/udp/239.253.240.43:8000

贵州卫视,http://192.168.123.1:8888/udp/239.253.240.113:8000
贵州卫视,http://192.168.123.1:8888/udp/239.253.240.51:8000

吉林卫视,http://192.168.123.1:8888/udp/239.253.240.173:8000
吉林卫视,http://192.168.123.1:8888/udp/239.253.240.46:8000

海南卫视,http://192.168.123.1:8888/udp/239.253.240.179:8000
海南卫视,http://192.168.123.1:8888/udp/239.253.240.35:8000

四川卫视,http://192.168.123.1:8888/udp/239.253.240.180:8000
四川卫视,http://192.168.123.1:8888/udp/239.253.240.50:8000

河南卫视,http://192.168.123.1:8888/udp/239.253.240.190:8000
河南卫视,http://192.168.123.1:8888/udp/239.253.240.44:8000

青海卫视,http://192.168.123.1:8888/udp/239.253.240.195:8000
青海卫视,http://192.168.123.1:8888/udp/239.253.240.54:8000

重庆卫视,http://192.168.123.1:8888/udp/239.253.240.38:8000

江西卫视,http://192.168.123.1:8888/udp/239.253.240.47:8000

山东教育卫视,http://192.168.123.1:8888/udp/239.253.240.59:8000

云南卫视,http://192.168.123.1:8888/udp/239.253.240.196:8000

广西卫视,http://192.168.123.1:8888/udp/239.253.240.197:8000



山西卫视,http://192.168.123.1:8888/udp/239.253.240.48:8000

陕西卫视,http://192.168.123.1:8888/udp/239.253.240.49:8000

宁夏卫视,http://192.168.123.1:8888/udp/239.253.240.53:8000

西藏卫视,http://192.168.123.1:8888/udp/239.253.240.56:8000

兵团卫视,http://192.168.123.1:8888/udp/239.253.240.57:8000

内蒙古卫视,http://192.168.123.1:8888/udp/239.253.240.58:8000

新疆卫视,http://192.168.123.1:8888/udp/239.253.240.60:8000

大湾区卫视,http://192.168.123.1:8888/udp/239.253.240.069:8000

农林卫视,http://192.168.123.1:8888/udp/239.253.240.70:8000

厦门卫视,http://192.168.123.1:8888/udp/239.253.240.106:8000

延边卫视,http://192.168.123.1:8888/udp/239.253.240.121:8000

三沙卫视,http://192.168.123.1:8888/udp/239.253.240.171:8000





地方频道,#genre#

山东体育,http://192.168.123.1:8888/udp/239.253.240.81:8000
山东体育,http://192.168.123.1:8888/udp/239.253.240.158:8000

山东生活,http://192.168.123.1:8888/udp/239.253.240.151:8000
