央视频道,#genre#
CCTV1,http://192.168.123.1:8888/udp/239.253.240.77:8000
CCTV1,http://192.168.123.1:8888/udp/239.253.240.1:8000

CCTV2,http://192.168.123.1:8888/udp/239.253.240.232:8000
CCTV2,http://192.168.123.1:8888/udp/239.253.240.3:8000

CCTV3,http://192.168.123.1:8888/udp/239.253.240.191:8000
CCTV3,http://192.168.123.1:8888/udp/239.253.240.4:8000


CCTV4,http://192.168.123.1:8888/udp/239.253.240.111:8000
CCTV4,http://192.168.123.1:8888/udp/239.253.240.5:8000

CCTV4欧洲,http://192.168.123.1:8888/udp/239.253.240.186:8000
CCTV4美洲,http://192.168.123.1:8888/udp/239.253.240.187:8000

CCTV5,http://192.168.123.1:8888/udp/239.253.240.109:8000
CCTV5,http://192.168.123.1:8888/udp/239.253.240.192:8000
CCTV5,http://192.168.123.1:8888/udp/239.253.240.6:8000
CCTV5,http://192.168.123.1:8888/udp/239.253.240.131:8000

CCTV5+,http://192.168.123.1:8888/udp/239.253.240.80:8000


CCTV6,http://192.168.123.1:8888/udp/239.253.240.193:8000
CCTV6,http://192.168.123.1:8888/udp/239.253.240.7:8000


CCTV7,http://192.168.123.1:8888/udp/239.253.240.233:8000
CCTV7,http://192.168.123.1:8888/udp/239.253.240.8:8000


CCTV8,http://192.168.123.1:8888/udp/239.253.240.194:8000
CCTV8,http://192.168.123.1:8888/udp/239.253.240.9:8000


CCTV9,http://192.168.123.1:8888/udp/239.253.240.79:8000
CCTV9,http://192.168.123.1:8888/udp/239.253.240.10:8000


CCTV10,http://192.168.123.1:8888/udp/239.253.240.234:8000
CCTV10,http://192.168.123.1:8888/udp/239.253.240.11:8000


CCTV11,http://192.168.123.1:8888/udp/239.253.240.169:8000
CCTV11,http://192.168.123.1:8888/udp/239.253.240.12:8000


CCTV12,http://192.168.123.1:8888/udp/239.253.240.235:8000
CCTV12,http://192.168.123.1:8888/udp/239.253.240.13:8000


CCTV13,http://192.168.123.1:8888/udp/239.253.240.175:8000
CCTV13,http://192.168.123.1:8888/udp/239.253.240.14:8000


CCTV14,http://192.168.123.1:8888/udp/239.253.240.236:8000
CCTV14,http://192.168.123.1:8888/udp/239.253.240.15:8000


CCTV15,http://192.168.123.1:8888/udp/239.253.240.170:8000
CCTV15,http://192.168.123.1:8888/udp/239.253.240.16:8000


CCTV17,http://192.168.123.1:8888/udp/239.253.240.168:8000

CETV1,http://192.168.123.1:8888/udp/239.253.240.110:8000
CETV1,http://192.168.123.1:8888/udp/239.253.240.55:8000

CETV2,http://192.168.123.1:8888/udp/239.253.240.107:8000

CETV4,http://192.168.123.1:8888/udp/239.253.240.108:8000

CGTN,http://192.168.123.1:8888/udp/239.253.240.189:8000
CGTN纪录,http://192.168.123.1:8888/udp/239.253.240.188:8000
CGTN西语,http://192.168.123.1:8888/udp/239.253.240.182:8000
CGTN法语,http://192.168.123.1:8888/udp/239.253.240.183:8000
CGTN俄语,http://192.168.123.1:8888/udp/239.253.240.185:8000
CGTN阿语,http://192.168.123.1:8888/udp/239.253.240.184:8000
        

CHC动作电影,http://192.168.123.1:8888/udp/239.253.240.153:8000


CHC高清电影,http://192.168.123.1:8888/udp/239.253.240.154:8000


CHC家庭影院,http://192.168.123.1:8888/udp/239.253.240.152:8000



卫视频道,#genre#

山东卫视,http://192.168.123.1:8888/udp/239.253.240.78:8000
山东卫视,http://192.168.123.1:8888/udp/239.253.240.2:8000

湖南卫视,http://192.168.123.1:8888/udp/239.253.240.82:8000
湖南卫视,http://192.168.123.1:8888/udp/239.253.240.27:8000

江苏卫视,http://192.168.123.1:8888/udp/239.253.240.83:8000
江苏卫视,http://192.168.123.1:8888/udp/239.253.240.28:8000

浙江卫视,http://192.168.123.1:8888/udp/239.253.240.84:8000
浙江卫视,http://192.168.123.1:8888/udp/239.253.240.29:8000

安徽卫视,http://192.168.123.1:8888/udp/239.253.240.87:8000
安徽卫视,http://192.168.123.1:8888/udp/239.253.240.30:8000

北京卫视,http://192.168.123.1:8888/udp/239.253.240.85:8000
北京卫视,http://192.168.123.1:8888/udp/239.253.240.31:8000

东方卫视,http://192.168.123.1:8888/udp/239.253.240.86:8000
东方卫视,http://192.168.123.1:8888/udp/239.253.240.32:8000

深圳卫视,http://192.168.123.1:8888/udp/239.253.240.91:8000
深圳卫视,http://192.168.123.1:8888/udp/239.253.240.33:8000

天津卫视,http://192.168.123.1:8888/udp/239.253.240.89:8000
天津卫视,http://192.168.123.1:8888/udp/239.253.240.34:8000

海南卫视,http://192.168.123.1:8888/udp/239.253.240.179:8000
海南卫视,http://192.168.123.1:8888/udp/239.253.240.35:8000

辽宁卫视,http://192.168.123.1:8888/udp/239.253.240.92:8000
辽宁卫视,http://192.168.123.1:8888/udp/239.253.240.36:8000

黑龙江卫视,http://192.168.123.1:8888/udp/239.253.240.93:8000
黑龙江卫视,http://192.168.123.1:8888/udp/239.253.240.37:8000

重庆卫视,http://192.168.123.1:8888/udp/239.253.240.38:8000

广东卫视,http://192.168.123.1:8888/udp/239.253.240.90:8000
广东卫视,http://192.168.123.1:8888/udp/239.253.240.39:8000

东南卫视,http://192.168.123.1:8888/udp/239.253.240.105:8000
东南卫视,http://192.168.123.1:8888/udp/239.253.240.41:8000

河北卫视,http://192.168.123.1:8888/udp/239.253.240.112:8000
河北卫视,http://192.168.123.1:8888/udp/239.253.240.43:8000

河南卫视,http://192.168.123.1:8888/udp/239.253.240.190:8000
河南卫视,http://192.168.123.1:8888/udp/239.253.240.44:8000

湖北卫视,http://192.168.123.1:8888/udp/239.253.240.88:8000
湖北卫视,http://192.168.123.1:8888/udp/239.253.240.45:8000

吉林卫视,http://192.168.123.1:8888/udp/239.253.240.173:8000
吉林卫视,http://192.168.123.1:8888/udp/239.253.240.46:8000

江西卫视,http://192.168.123.1:8888/udp/239.253.240.47:8000

四川卫视,http://192.168.123.1:8888/udp/239.253.240.180:8000
四川卫视,http://192.168.123.1:8888/udp/239.253.240.50:8000

贵州卫视,http://192.168.123.1:8888/udp/239.253.240.113:8000
贵州卫视,http://192.168.123.1:8888/udp/239.253.240.51:8000

甘肃卫视,http://192.168.123.1:8888/udp/239.253.240.74:8000
甘肃卫视,http://192.168.123.1:8888/udp/239.253.240.52:8000

青海卫视,http://192.168.123.1:8888/udp/239.253.240.195:8000
青海卫视,http://192.168.123.1:8888/udp/239.253.240.54:8000

广西卫视,http://192.168.123.1:8888/udp/239.253.240.197:8000

云南卫视,http://192.168.123.1:8888/udp/239.253.240.196:8000

山东教育卫视,http://192.168.123.1:8888/udp/239.253.240.59:8000

山西卫视,http://192.168.123.1:8888/udp/239.253.240.48:8000

陕西卫视,http://192.168.123.1:8888/udp/239.253.240.49:8000

内蒙古卫视,http://192.168.123.1:8888/udp/239.253.240.58:8000

厦门卫视,http://192.168.123.1:8888/udp/239.253.240.106:8000

西藏卫视,http://192.168.123.1:8888/udp/239.253.240.56:8000

宁夏卫视,http://192.168.123.1:8888/udp/239.253.240.53:8000

新疆卫视,http://192.168.123.1:8888/udp/239.253.240.60:8000

兵团卫视,http://192.168.123.1:8888/udp/239.253.240.57:8000

农林卫视,http://192.168.123.1:8888/udp/239.253.240.70:8000

三沙卫视,http://192.168.123.1:8888/udp/239.253.240.171:8000






地方频道,#genre#
山东齐鲁,http://192.168.123.1:8888/udp/239.253.240.114:8000

山东生活,http://192.168.123.1:8888/udp/239.253.240.151:8000
山东生活,http://192.168.123.1:8888/udp/239.253.240.20:8000

山东综艺,http://192.168.123.1:8888/udp/239.253.240.159:8000
山东综艺,http://192.168.123.1:8888/udp/239.253.240.21:8000

山东体育,http://192.168.123.1:8888/udp/239.253.240.22:8000

山东新闻,http://192.168.123.1:8888/udp/239.253.240.23:8000

山东农科,http://192.168.123.1:8888/udp/239.253.240.24:8000

山东少儿,http://192.168.123.1:8888/udp/239.253.240.25:8000

山东国际,http://192.168.123.1:8888/udp/239.253.240.26:8000

山东文旅,http://192.168.123.1:8888/udp/239.253.240.160:8000
山东文旅,http://192.168.123.1:8888/udp/239.253.240.19:8000

山东居家购物,http://192.168.123.1:8888/udp/239.253.240.104:8000

新泰乡村,http://192.168.123.1:8888/udp/239.253.240.246:8000

东平综合,http://192.168.123.1:8888/udp/239.253.240.249:8000

新泰综合,http://192.168.123.1:8888/udp/239.253.240.250:8000

肥城综合,http://192.168.123.1:8888/udp/239.253.240.251:8000

泰安综合,http://192.168.123.1:8888/udp/239.253.240.252:8000

泰安经济生活,http://192.168.123.1:8888/udp/239.253.240.253:8000

卡酷动画,http://192.168.123.1:8888/udp/239.253.240.66:8000

金鹰纪实,http://192.168.123.1:8888/udp/239.253.240.103:8000

金鹰卡通,http://192.168.123.1:8888/udp/239.253.240.117:8000

中数梨园,http://192.168.123.1:8888/udp/239.253.240.139:8000

中数武术世界,http://192.168.123.1:8888/udp/239.253.240.140:8000

中数文物宝库,http://192.168.123.1:8888/udp/239.253.240.141:8000

中数茶频道,http://192.168.123.1:8888/udp/239.253.240.143:8000

中数快乐垂钓,http://192.168.123.1:8888/udp/239.253.240.144:8000

宁阳综合,http://192.168.123.1:8888/udp/239.253.240.247:8000

宁阳2,http://192.168.123.1:8888/udp/239.253.240.248:8000

嘉佳卡通,http://192.168.123.1:8888/udp/239.253.240.65:8000

华诚先锋乒羽,http://192.168.123.1:8888/udp/239.253.240.145:8000
华诚先锋乒羽,http://192.168.123.1:8888/udp/239.253.240.155:8000

北广财富天下,http://192.168.123.1:8888/udp/239.253.240.147:8000
北广财富天下,http://192.168.123.1:8888/udp/239.253.240.230:8000




其他频道,#genre#
4K测试,http://192.168.123.1:8888/udp/239.253.240.102:8000

海洋频道,http://192.168.123.1:8888/udp/239.253.240.67:8000

东方财经,http://192.168.123.1:8888/udp/239.253.240.94:8000

游戏风云,http://192.168.123.1:8888/udp/239.253.240.95:8000

法治天下,http://192.168.123.1:8888/udp/239.253.240.96:8000

乐游,http://192.168.123.1:8888/udp/239.253.240.97:8000

都市剧场,http://192.168.123.1:8888/udp/239.253.240.98:8000
都市剧场,http://192.168.123.1:8888/udp/239.253.240.178:8000

生活时尚,http://192.168.123.1:8888/udp/239.253.240.99:8000

魅力足球,http://192.168.123.1:8888/udp/239.253.240.100:8000

金色学堂,http://192.168.123.1:8888/udp/239.253.240.101:8000

动漫秀场,http://192.168.123.1:8888/udp/239.253.240.115:8000

精彩影视,http://192.168.123.1:8888/udp/239.253.240.142:8000

九宫格,http://192.168.123.1:8888/udp/239.253.240.167:8000

中国交通频道,http://192.168.123.1:8888/udp/239.253.240.177:8000

哈哈炫动,http://192.168.123.1:8888/udp/239.253.240.63:8000

优漫卡通,http://192.168.123.1:8888/udp/239.253.240.64:8000

靓妆,http://192.168.123.1:8888/udp/239.253.240.68:8000

北广四海钓鱼,http://192.168.123.1:8888/udp/239.253.240.118:8000

书法美术,http://192.168.123.1:8888/udp/239.253.240.146:8000

家庭理财,http://192.168.123.1:8888/udp/239.253.240.148:8000

新动漫,http://192.168.123.1:8888/udp/239.253.240.149:8000
新动漫,http://192.168.123.1:8888/udp/239.253.240.157:8000

家有购物,http://192.168.123.1:8888/udp/239.253.240.150:8000






轮播频道,#genre#
轮播1,http://192.168.123.1:8888/udp/239.253.240.124:8000
轮播2,http://192.168.123.1:8888/udp/239.253.240.125:8000
轮播3,http://192.168.123.1:8888/udp/239.253.240.126:8000
轮播4,http://192.168.123.1:8888/udp/239.253.240.127:8000
轮播5,http://192.168.123.1:8888/udp/239.253.240.128:8000
轮播6,http://192.168.123.1:8888/udp/239.253.240.129:8000
轮播7,http://192.168.123.1:8888/udp/239.253.240.130:8000
轮播8,http://192.168.123.1:8888/udp/239.253.240.201:8000
轮播9,http://192.168.123.1:8888/udp/239.253.240.202:8000
轮播10,http://192.168.123.1:8888/udp/239.253.240.203:8000
轮播11,http://192.168.123.1:8888/udp/239.253.240.204:8000
轮播12,http://192.168.123.1:8888/udp/239.253.240.205:8000
轮播13,http://192.168.123.1:8888/udp/239.253.240.206:8000
轮播14,http://192.168.123.1:8888/udp/239.253.240.207:8000
轮播15,http://192.168.123.1:8888/udp/239.253.240.208:8000
轮播16,http://192.168.123.1:8888/udp/239.253.240.209:8000
轮播17,http://192.168.123.1:8888/udp/239.253.240.210:8000
轮播18,http://192.168.123.1:8888/udp/239.253.240.211:8000
轮播19,http://192.168.123.1:8888/udp/239.253.240.212:8000
轮播20,http://192.168.123.1:8888/udp/239.253.240.213:8000
轮播21,http://192.168.123.1:8888/udp/239.253.240.214:8000
轮播22,http://192.168.123.1:8888/udp/239.253.240.215:8000
轮播23,http://192.168.123.1:8888/udp/239.253.240.216:8000
轮播24,http://192.168.123.1:8888/udp/239.253.240.217:8000
轮播25,http://192.168.123.1:8888/udp/239.253.240.218:8000
轮播26,http://192.168.123.1:8888/udp/239.253.240.219:8000
轮播27,http://192.168.123.1:8888/udp/239.253.240.220:8000
轮播28,http://192.168.123.1:8888/udp/239.253.240.221:8000
轮播29,http://192.168.123.1:8888/udp/239.253.240.222:8000
轮播30,http://192.168.123.1:8888/udp/239.253.240.223:8000
轮播31,http://192.168.123.1:8888/udp/239.253.240.224:8000
轮播32,http://192.168.123.1:8888/udp/239.253.240.225:8000
轮播33,http://192.168.123.1:8888/udp/239.253.240.226:8000
轮播34,http://192.168.123.1:8888/udp/239.253.240.227:8000
轮播35,http://192.168.123.1:8888/udp/239.253.240.228:8000
轮播36,http://192.168.123.1:8888/udp/239.253.240.229:8000
轮播37,http://192.168.123.1:8888/udp/239.253.240.132:8000
轮播38,http://192.168.123.1:8888/udp/239.253.240.135:8000
轮播39,http://192.168.123.1:8888/udp/239.253.240.136:8000
轮播40,http://192.168.123.1:8888/udp/239.253.240.137:8000
轮播41,http://192.168.123.1:8888/udp/239.253.240.138:8000








